A,Mot
Aa,Aa
Aardvark,Aardvark
Ab-,Ab 
Ab,Ab
Aback,Lui lai
Abacus,Ban tinh
Abaft,Sau
Abandon,Bo roi
Abandoned,Bi bo roi
Abase,Abase
Abashed,Bi hanh ha
Abate,Abate
Abattoir,Lo mo
Abbacy,Abbacy
Abbess,Vien truong
Abbey,Tu vien
Abbot,Tru tri
Abbreviate,Viet tat
Abc,Abc
Abdicate,Tu chuc
Abdomen,Bung
Abduct,Bat coc
Abeam,Suon tau
Aberdeen,Aberdeen
Aberdonian,Aberdonian
Aberrant,Aberrant
Aberration,Quang sai
Abet,Abet
Abeyance,Abeyance
Abhor,Abhor
Abhorrence,Su ghe tom
Abhorrent,Abhorrent
Abide,Chiu dung
Abiding,Chap hanh
Ability,Co kha nang
Abject,Kho so
Abjure,Abjure
Ablative,Ablative
Ablaze,Ablaze
Able-bodied,Co co the khoe manh
Able,Co the
Ablution,Ablution
Abm,Abm
Abnegate,Abnegate
Abnegation,Hy sinh
Abnormal,Khac thuong
Abo,Abo
Aboard,Cai bang
Abolish,Bo
Abolition,Bai bo
Abominable,Kha ai
Abominate,Abominate
Aboriginal,Tho dan
Aborigine,Tho dan
Abort,Huy bo
Abortion,Su pha thai
Abortive,Pha thai
Abound,Nhieu
About-face,Gioi thieu
About-turn,Khoang re
About,Ve
Above-board,Ngay thang
Above,O tren
Abracadabra,Abracadabra
Abrade,Mai mon
Abrasion,mai mon
Abrasive,Mai mon
Abreast,Ngang nhau
Abridge,Abridge
Abroad,Nuoc ngoai
Abrogate,Bai bo
Abrupt,Dot ngot
Abscess,Ap xe
Abseil,Abseil
Absence,Vang mat
Absent-minded,Lo denh
Absent,Vang mat
Absentee,Nguoi vang mat
Absenteeism,Vang mat
Absinth,absinthe
Absolute,Tuyet doi
Absolutely,Chac chan roi
Absolution,Su hap thu
Absolutism,Thuyet tuyet doi
Absolve,Tham thoat
Absorb,Hap thu
Absorbent,Hap thu
Absorption,Su hap thu
Abstain,Kieng cu
Abstemious,Abstemious
Abstention,Su kieng cu
Abstinence,Kieng cu
Abstract,truu tuong
Abstracted,Truu tuong
Abstraction,Truu tuong
Abstruse,Tom tat
Absurd,Phi ly
Abta,Abta
Abundance,Doi dao
Abundant,Do?i da?o
Abuse,Lam dung
Abusive,Mang nhiec
Abut,Abut
Abutment,Mo
Abuzz,Abuzz
Abysmal,Abysmal
Abyss,Vuc sau
Ac,Va
Acacia,Cay keo
Academia,Academia
Academic,Thuoc ve ly thuyet
Academician,Vien si
Academy,Hoc vien
Acanthus,Acanthus
Acas,Acas
Accede,Gia nhap
Accelerate,Thuc giuc
Accelerator,May gia toc
Accent,Giong
Accentuate,Nhan trong am
Accept,Chap nhan
Acceptable,Co the chap nhan duoc
Acceptance,chap thuan
Access,Truy cap
Accessible,Co the truy cap
Accession,Gia nhap
Accessory,Phu kien
Accident-prone,De bi tai nan
Accident,Tai nan
Accidental,Tinh co
Acclaim,Hoan ho
Acclamation,Hoan nghenh
Acclimatize,Lam quen
Accolade,Accolade
Accommodate,Cung cap
Accommodating,Dap ung
Accommodation,Cho o
Accompaniment,Dong hanh
Accompany,Dong hanh
Accomplice,Dong hanh
Accomplish,Hoan thanh
Accomplished,Da hoan thanh
Accomplishment,Su hoan thanh
Accord,Phu hop
Accordance,Tuy theo
According,Theo
Accordingly,Theo do
Accordion,Accordion
Accost,Accost
Account,Tai khoan
Accountable,Co trach nhiem
Accountant,Ke toan vien
Accouterments,May tinh
Accoutrements,Cac khoan vay
Accredit,Cong nhan
Accredited,Duoc cong nhan
Accretion,Boi dap
Accrue,Tich luy
Accumulate,Tich tru
Accumulation,Tich luy
Accumulator,Tich luy
Accuracy,Su chinh xac
Accurate,Chinh xac
Accursed,Dang nguyen rua
Accusation,Su buoc toi
Accusative,Cao buoc
Accusatory,Buoc toi
Accuse,Buoc toi
Accustom,Accustom
Accustomed,Quen
Ace,At chu
Acellular,Acellular
Aceous,Aceous
Acerbic,Acerbic
Acetaldehyde,Acetaldehyde
Acetate,Axetat
Acetic,Acetic
Acetone,Axeton
Acetylene,Axetylen
Ache,Dau nhuc
Achieve,Dat duoc
Achievement,Thanh tich
Achilles,Achilles
Achromatic,Thom
Achy,Dau
Acid,Axit
Acidulous,Hoi chua
Ack-ack,Ack ack
Acknowledge,Thua nhan
Acknowledgement,Nhin nhan
Acme,Acme
Acne,Mun
Acolyte,Acolyte
Aconite,Aconite
Acorn,Acorn
Acoustic,Am hoc
Acoustics,Am hoc
Acquaint,Lam quen
Acquaintance,Nguoi quen
Acquiesce,Co duoc
Acquire,Co duoc thu duoc
Acquired,Mua
Acquirement,Mua lai
Acquisition,Thu mua
Acquisitive,Co tinh tiep thu
Acquit,Acquit
Acre,Mau Anh
Acreage,Dien tich
Acrid,Chat
Acrimonious,Chua cay
Acrobat,dien vien xiec
Acrobatics,Nhao lon
Acronym,Tu viet tat
Acropolis,Acropolis
Across,Bang qua
Acrostic,Acrostic
Acrylic,Acrylic
Act,Hanh dong
Acting,Dien xuat
Actinism,Chu nghia tich cuc
Actinium,Actinium
Action-packed,Hanh dong dong goi
Action,Hoat dong
Actionable,Co the hanh dong
Activate,Hoat dong
Active,Tich cuc
Activism,Chu nghia tich cuc
Activity,Hoat dong
Actor,Dien vien nam
Actress,Nu dien vien
Actual,That su
Actuality,Thuc te
Actually,Thuc ra
Actuary,Actuary
Actuate,Hanh dong
Acuity,Acuity
Acumen,Su nhay ben
Acupuncture,Cham cuu
Acute,Nhon
Ad-,Quang cao 
Ad,Quang cao
Adage,Cau ngan ngu
Adagio,Adagio
Adam's,Cua Adam
Adam,Adam
Adamant,Adamant
Adapt,Phong theo
Adaptor,Bo chuyen doi
Add,cong
Addendum,Phu luc
Adder,Adder
Addict,Con nghien
Addicted,Nghien
Addictive,Gay nghien
Addition,Phep cong
Additional,Them vao
Additive,Phu gia
Addle,Ung hu
Address,Dia chi nha
Addressee,Nguoi nhan dia chi
Adduce,Gay nghien
Adenoids,Adenoids
Adept,Lao luyen
Adequate,Du
Adhere,Tuan thu
Adherent,Ket dinh
Adhesion,Ket dinh
Adhesive,Dinh
Adieu,Adieu
Adipose,Chat beo
Adjacent,Lien ke
Adjective,Tinh tu
Adjoin,Gia nhap
Adjourn,Dieu chinh
Adjudge,Xet doan
Adjudicate,Danh gia
Adjunct,Phu tro
Adjure,Dieu chinh
Adjust,Dieu chinh
Adjutant,Phu ta
Admin,Quan tri vien
Administer,Quan tri vien
Administrate,quan ly
Administration,Su quan ly
Administrative,Hanh chinh
Administrator,Nguoi quan ly
Admirable,Dang nguong mo
Admiral,Do doc
Admiralty,Hai quan
Admiration,Su kham phuc
Admire,Nguong mo
Admissible,Co the chap nhan
Admission,Nhan vao
Admit,Thua nhan
Admittance,Chuyen tien
Admittedly,Phai thua nhan
Admixture,Phu gia
Admonish,Khuyen nhu
Ado,Trang tri
Adobe,Adobe
Adolescent,Thanh nien
Adonis,Adonis
Adopt,Nhan nuoi
Adoptive,Nhan nuoi
Adorable,Dang yeu
Adore,Yeu thich
Adorn,To diem
Adrenal,Thuong than
Adrenalin,Adrenalin
Adrift,Adrift
Adroit,Khe?o le?o
Adsorb,Hap phu
Adulation,Su thua nhan
Adult,Nguoi lon
Adulterate,Ket dinh
Adulterer,Ke ngoai tinh
Adultery,Ngoai tinh
Adumbrate,De cuong
Advance,Nang cao
Advanced,Nang cao
Advancement,Thang tien
Advantage,Thuan loi
Advent,Advent
Adventist,Nguoi theo thuyet Co doc Phuc lam
Adventitious,Day tham vong
Adventure,Cuoc phieu luu
Adventurer,Nha tham hiem
Adventurous,Phieu luu
Adverb,Trang tu
Adversary,Doi thu
Adverse,Bat loi
Adversity,Nghich canh
Advert,Quang cao
Advertise,Quang cao
Advertisement,Quang cao
Advice,Loi khuyen
Advisable,Co the khuyen bao
Advise,Khuyen nhu
Advisedly,Duoc tu van
Adviser,Co van
Advisory,Tham muu
Advocaat,Luat su
Advocacy,Van dong chinh sach
Advocate,Bien ho
Adz,Adz
Adze,Adze
Aegis,Aegis
Aeolian,Aeolian
Aeon,Aeon
Aerate,Suc khi
Aerial,Tren khong
Aero-,Aero 
Aerobatics,Nhao lon tren khong
Aerobics,The duc nhip dieu
Aerodrome,San bay
Aerodynamics,Khi dong hoc
Aerofoil,Aerofoil
Aeronautics,Hang khong
Aeroplane,May bay
Aerosol,Binh xit
Aerospace,Khong gian vu tru
Aesthete,Esthete
Aesthetic,Tham my
Aetiology,Benh nguyen sinh
Af,Cua
Afar,Xa
Affable,Hop tui tien
Affair,Cong viec
Affect,Anh huong
Affectation,Anh huong
Affected,Anh huong
Affection,Su yeu men
Affectionate,Tinh cam
Affidavit,Tuyen the
Affiliate,Chi nhanh
Affiliation,Chi nhanh
Affinity,Su giong nhau
Affirm,Xac nhan
Affirmative,Khang dinh
Affix,Lien ket
Afflict,Moi quan he
Affliction,Phien nao
Affluent,Giau co
Afford,Du kha nang
Afforest,Afforest
Affray,Lien ket
Affront,Doi dau
Afghan,Nguoi Afghanistan
Aficionado,Nguoi cuong nhiet
Afield,Afield
Aflame,Aflame
Afloat,Afloat
Afoot,Afoot
Afore-,Truoc 
Afore,Truoc
Aforethought,Da suy nghi truoc
Afraid,So
Afresh,Lam moi
African,Nguoi chau Phi
Afrikaans,Nguoi chau Phi
Afrikaner,Afrikaner
Afro-,Afro 
Afro-american,Nguoi My goc Phi
Afro-caribbean,Afro caribbean
Afro,Afro
Aft,Aft
After-care,Cham soc sau
After-effect,Sau khi co hieu luc
After,Sau
Afterbirth,Sau khi sanh
Afterglow,Anh sang ruc ro
Afterlife,The gioi ben kia
Aftermath,Hau qua
Afternoon,Buoi chieu
Afterpains,Hau qua
Afters,Afters
Aftershave,Aftershave
Aftertaste,Du vi
Afterthought,Suy nghi sau
Afterward,Sau
Afterwards,Sau do
Ag,Ag
Again,Lai
Against,Chong lai
Agape,Agape
Agaric,Agaric
Agate,Ma nao
Agave,Cay thua
Age-old,Tuoi gia
Age,Tuoi tac
Aged,Co tuoi
Ageism,Chu nghia thoi dai
Ageless,Khong tuoi tac
Agelong,A Gron
Agency,Ha?ng
Agenda,Chuong trinh nghi su
Agent,Dai ly
Agglomerate,Ket tu
Agglutinate,Agglutinate
Aggrandize,Tram trong hoa
Aggravate,Lam tram trong them
Aggregate,Tong hop
Aggression,Hieu chien
Aggressive,Hung du
Aggressor,Nguoi hung hang
Aggrieved,Co loi
Aggro,Hung bao
Aghast,Kinh khung
Agile,Nhanh nhen
Agitate,Kich dong
Aglow,Aglow
Agm,Agm
Agnail,Agnail
Agnostic,Bat kha tri
Ago,Truoc kia
Agog,Agog
Agonize,Muc tieu
Agony,Tram trong
Agoraphobia,Chung so dam dong
Agrarian,Nong dan
Agree,Dong y
Agreeable,Co the chap nhan duoc
Agreement.,Hiep dinh 
Agreement,Hiep dinh
Agriculture,Nong nghiep
Agrimony,Agrimony
Agronomy,Nong hoc
Aground,Mac can
Ague,Ague
Ah,Ah
Aha,Aha
Ahead,Phia truoc
Ahem,E hem
Ahoy,Ahoy
Ai,Ai
Aid,Su giup do
Aide-de-camp,Phu ta
Aide,Phu ta
Aids,AIDS
Ail,Thu hai
Aileron,Aileron
Ailing,Om yeu
Ailment,Benh tat
Aim,Muc dich
Aimless,Khong co muc tieu
Ain't,Khong phai
Air-bed,Giuong hoi
Air-brick,Gach khong khi
Air-conditioning,Dieu hoa nhiet do
Air-cushion,Dem khi
Air,Hang khong
Airbase,Can cu khong quan
Airborne,Tren khong
Airbus,Airbus
Aircraft-carrier,Tau san bay
Aircraft,Phi co
Aircraftman,Nguoi lai may bay
Aircraftwoman,Nhan vien may bay
Aircrew,Phi hanh doan
Airedale,Airedale
Airer,Airer
Airfield,San bay
Airgun,Sung hoi
Airhead,Airhead
Airless,Khong co khong khi
Airlift,Van chuyen hang khong
Airline,Hang hang khong
Airliner,Nhan vien hang khong
Airlock,Khoa gio
Airmail,Duong hang khong
Airman,Phi cong
Airplane,May bay
Airport,Phi truong
Airs,Airs
Airscrew,Phi hanh doan
Airship,Phi thuyen
Airsick,Airsick
Airspace,Vung troi
Airstrip,Duong bang
Airtight,Kin gio
Airwaves,Song khong khi
Airway,Khi dao
Airwoman,Nhan vien hang khong
Airworthy,Dang tin cay
Airy-fairy,Airy Fairy
Airy,Thoang dang
Aisle,Loi di
Aitch,Aitch
Aitchbone,Xuong chau
Ajar,Day
Akela,Akela
Akimbo,Akimbo
Akin,Cua toi
Al,Al
Alabaster,Alabaster
Alacrity,Alacrity
Alarm,Bao thuc
Alarmist,Bao thuc
Alas,Than oi
Alb,Trang
Albatross,Chim hai au
Albeit,mac du
Albino,Bach tang
Album,Album
Albumen,Albumen
Albumin,Albumin
Alchemy,Thuat gia kim
Alcohol,Ruou bia
Alcoholic,Ke nghien ruou
Alcoholism,Nghien ruou
Alcove,Hoc tuong
Aldehyde,Andehit
Alder,Tuoi tac
Alderman,Alderman
Ale,Nhung ma
Aleatory,Aleatory
Alehouse,Alehouse
Alembic,Alembic
Alert,Bao dong
Alexander,Alexander
Alexandrine,Alexandrine
Alfalfa,nghin nghin
Alfresco,Alfresco
Alga,Alga
Algebra,Dai so hoc
Algol,Algol
Algorithm,Thuat toan
Alias,Bi danh
Alibi,Alibi
Alien,Nguoi ngoai hanh tinh
Alienable,Alienable
Alienate,Ngoai kieu
Align,Can chinh
Alike,Nhu nhau
Alimentary,Nguoi ngoai hanh tinh
Alimony,Alimony
Aliphatic,Aliphatic
Aliquot,Aliquot
Alive,Con song
Alkali,Chat kiem
Alkalinity,Do kiem
Alkaloid,Alkaloid
Alkane,Alkane
Alkene,Anken
Alkyne,Alkyne
All-clear,Tat ca ro rang
All-in,Tat ca trong
All-purpose,Tat ca cac muc dich
All-right,Tat ca deu dung
All-round,Toan dien
All-rounder,Nguoi da tai
All-time,Moi luc
All,Tat ca cac
Allah,Allah
Allay,Allay
Allegation,Cao buoc
Allege,Allege
Allegedly,Bi cao buoc
Allegiance,Long trung thanh
Allegory,Cau chuyen ngu ngon
Allegretto,Allegretto
Allegro,Allegro
Alleluia,Alleluia
Allen,Allen
Allergic,Di ung
Allergy,Di ung
Alleviate,Giam nhe
Alley,Ngo
Alliance,Lien minh
Allied,Dong minh
